title,series,moods
Mistborn: The Final Empire,Mistborn Era 1,adventurous
Mistborn: The Final Empire,Mistborn Era 1,mysterious
Mistborn: The Final Empire,Mistborn Era 1,dark
Mistborn: The Final Empire,Mistborn Era 1,tense
Mistborn: The Final Empire,Mistborn Era 1,emotional
Mistborn: The Final Empire,Mistborn Era 1,hopeful
Mistborn: The Final Empire,Mistborn Era 1,inspiring
Mistborn: The Final Empire,Mistborn Era 1,funny
Mistborn: The Final Empire,Mistborn Era 1,sad
Mistborn: The Final Empire,Mistborn Era 1,challenging
The Well of Ascension,Mistborn Era 1,adventurous
The Well of Ascension,Mistborn Era 1,mysterious
The Well of Ascension,Mistborn Era 1,tense
The Well of Ascension,Mistborn Era 1,dark
The Well of Ascension,Mistborn Era 1,emotional
The Well of Ascension,Mistborn Era 1,hopeful
The Well of Ascension,Mistborn Era 1,challenging
The Well of Ascension,Mistborn Era 1,sad
The Well of Ascension,Mistborn Era 1,inspiring
The Well of Ascension,Mistborn Era 1,reflective
The Hero of Ages,Mistborn Era 1,adventurous
The Hero of Ages,Mistborn Era 1,emotional
The Hero of Ages,Mistborn Era 1,tense
The Hero of Ages,Mistborn Era 1,dark
The Hero of Ages,Mistborn Era 1,mysterious
The Hero of Ages,Mistborn Era 1,hopeful
The Hero of Ages,Mistborn Era 1,sad
The Hero of Ages,Mistborn Era 1,inspiring
The Hero of Ages,Mistborn Era 1,reflective
The Hero of Ages,Mistborn Era 1,challenging
The Alloy of Law,Mistborn Era 2,adventurous
The Alloy of Law,Mistborn Era 2,mysterious
The Alloy of Law,Mistborn Era 2,funny
The Alloy of Law,Mistborn Era 2,tense
The Alloy of Law,Mistborn Era 2,lighthearted
The Alloy of Law,Mistborn Era 2,emotional
The Alloy of Law,Mistborn Era 2,dark
The Alloy of Law,Mistborn Era 2,challenging
The Alloy of Law,Mistborn Era 2,fast-paced
The Alloy of Law,Mistborn Era 2,hopeful
Shadows of Self,Mistborn Era 2,adventurous
Shadows of Self,Mistborn Era 2,mysterious
Shadows of Self,Mistborn Era 2,funny
Shadows of Self,Mistborn Era 2,emotional
Shadows of Self,Mistborn Era 2,tense
Shadows of Self,Mistborn Era 2,dark
Shadows of Self,Mistborn Era 2,sad
Shadows of Self,Mistborn Era 2,challenging
Shadows of Self,Mistborn Era 2,reflective
Shadows of Self,Mistborn Era 2,lighthearted
The Bands of Mourning,Mistborn Era 2,adventurous
The Bands of Mourning,Mistborn Era 2,mysterious
The Bands of Mourning,Mistborn Era 2,funny
The Bands of Mourning,Mistborn Era 2,emotional
The Bands of Mourning,Mistborn Era 2,tense
The Bands of Mourning,Mistborn Era 2,dark
The Bands of Mourning,Mistborn Era 2,hopeful
The Bands of Mourning,Mistborn Era 2,lighthearted
The Bands of Mourning,Mistborn Era 2,challenging
The Bands of Mourning,Mistborn Era 2,reflective
The Lost Metal,Mistborn Era 2,adventurous
The Lost Metal,Mistborn Era 2,challenging
The Lost Metal,Mistborn Era 2,dark
The Lost Metal,Mistborn Era 2,emotional
The Lost Metal,Mistborn Era 2,fast-paced
The Lost Metal,Mistborn Era 2,funny
The Lost Metal,Mistborn Era 2,hopeful
The Lost Metal,Mistborn Era 2,informative
The Lost Metal,Mistborn Era 2,inspiring
The Lost Metal,Mistborn Era 2,lighthearted
The Lost Metal,Mistborn Era 2,mysterious
The Lost Metal,Mistborn Era 2,reflective
The Lost Metal,Mistborn Era 2,relaxing
The Lost Metal,Mistborn Era 2,sad
The Lost Metal,Mistborn Era 2,tense
The Way of Kings,Stormlight Archive,emotional
The Way of Kings,Stormlight Archive,tense
The Way of Kings,Stormlight Archive,adventurous
The Way of Kings,Stormlight Archive,adventurous
The Way of Kings,Stormlight Archive,challenging
The Way of Kings,Stormlight Archive,dark
The Way of Kings,Stormlight Archive,emotional
The Way of Kings,Stormlight Archive,funny
The Way of Kings,Stormlight Archive,hopeful
The Way of Kings,Stormlight Archive,informative
The Way of Kings,Stormlight Archive,inspiring
The Way of Kings,Stormlight Archive,lighthearted
The Way of Kings,Stormlight Archive,medium-paced
The Way of Kings,Stormlight Archive,mysterious
The Way of Kings,Stormlight Archive,reflective
The Way of Kings,Stormlight Archive,relaxing
The Way of Kings,Stormlight Archive,sad
The Way of Kings,Stormlight Archive,tense
Words of Radiance,Stormlight Archive,adventurous
Words of Radiance,Stormlight Archive,challenging
Words of Radiance,Stormlight Archive,dark
Words of Radiance,Stormlight Archive,emotional
Words of Radiance,Stormlight Archive,funny
Words of Radiance,Stormlight Archive,hopeful
Words of Radiance,Stormlight Archive,informative
Words of Radiance,Stormlight Archive,inspiring
Words of Radiance,Stormlight Archive,lighthearted
Words of Radiance,Stormlight Archive,medium-paced
Words of Radiance,Stormlight Archive,mysterious
Words of Radiance,Stormlight Archive,reflective
Words of Radiance,Stormlight Archive,relaxing
Words of Radiance,Stormlight Archive,sad
Words of Radiance,Stormlight Archive,tense
Oathbringer,Stormlight Archive,adventurous
Oathbringer,Stormlight Archive,emotional
Oathbringer,Stormlight Archive,tense
Oathbringer,Stormlight Archive,inspiring
Oathbringer,Stormlight Archive,mysterious
Oathbringer,Stormlight Archive,dark
Oathbringer,Stormlight Archive,hopeful
Oathbringer,Stormlight Archive,challenging
Oathbringer,Stormlight Archive,reflective
Oathbringer,Stormlight Archive,funny
Rhythm of War,Stormlight Archive,adventurous
Rhythm of War,Stormlight Archive,emotional
Rhythm of War,Stormlight Archive,tense
Rhythm of War,Stormlight Archive,inspiring
Rhythm of War,Stormlight Archive,hopeful
Rhythm of War,Stormlight Archive,mysterious
Rhythm of War,Stormlight Archive,dark
Rhythm of War,Stormlight Archive,sad
Rhythm of War,Stormlight Archive,challenging
Rhythm of War,Stormlight Archive,reflective
Wind and Truth,Stormlight Archive,adventurous
Wind and Truth,Stormlight Archive,emotional
Wind and Truth,Stormlight Archive,tense
Wind and Truth,Stormlight Archive,inspiring
Wind and Truth,Stormlight Archive,dark
Wind and Truth,Stormlight Archive,hopeful
Wind and Truth,Stormlight Archive,reflective
Wind and Truth,Stormlight Archive,challenging
Wind and Truth,Stormlight Archive,mysterious
Wind and Truth,Stormlight Archive,sad
Elantris,Elantris,adventurous
Elantris,Elantris,exciting
Elantris,Elantris,challenging
Elantris,Elantris,dark
Elantris,Elantris,emotional
Elantris,Elantris,funny
Elantris,Elantris,hopeful
Elantris,Elantris,informative
Elantris,Elantris,inspiring
Elantris,Elantris,lighthearted
Elantris,Elantris,mysterious
Elantris,Elantris,reflective
Elantris,Elantris,sad
Elantris,Elantris,tense
The Hope of Elantris,Elantris,emotional
The Hope of Elantris,Elantris,adventurous
The Hope of Elantris,Elantris,tense
The Hope of Elantris,Elantris,inspiring
The Hope of Elantris,Elantris,hopeful
The Hope of Elantris,Elantris,reflective
The Hope of Elantris,Elantris,informative
Warbreaker,Warbreaker,adventurous
Warbreaker,Warbreaker,intense
Warbreaker,Warbreaker,romantic
Warbreaker,Warbreaker,challenging
Warbreaker,Warbreaker,dark
Warbreaker,Warbreaker,emotional
Warbreaker,Warbreaker,funny
Warbreaker,Warbreaker,hopeful
Warbreaker,Warbreaker,informative
Warbreaker,Warbreaker,inspiring
Warbreaker,Warbreaker,lighthearted
Warbreaker,Warbreaker,medium-paced
Warbreaker,Warbreaker,mysterious
Warbreaker,Warbreaker,reflective
Warbreaker,Warbreaker,sad
Warbreaker,Warbreaker,surprising
Warbreaker,Warbreaker,tense
The Emperor's Soul,Standalone,adventurous
The Emperor's Soul,Standalone,mysterious
The Emperor's Soul,Standalone,reflective
The Emperor's Soul,Standalone,tense
The Emperor's Soul,Standalone,inspiring
The Emperor's Soul,Standalone,emotional
The Emperor's Soul,Standalone,hopeful
The Emperor's Soul,Standalone,lighthearted
The Emperor's Soul,Standalone,challenging
The Emperor's Soul,Standalone,dark
Tress of the Emerald Sea,Standalone,adventurous
Tress of the Emerald Sea,Standalone,funny
Tress of the Emerald Sea,Standalone,lighthearted
Tress of the Emerald Sea,Standalone,hopeful
Tress of the Emerald Sea,Standalone,inspiring
Tress of the Emerald Sea,Standalone,emotional
Tress of the Emerald Sea,Standalone,mysterious
Tress of the Emerald Sea,Standalone,relaxing
Tress of the Emerald Sea,Standalone,tense
Tress of the Emerald Sea,Standalone,reflective
Yumi and the Nightmare Painter,Standalone,emotional
Yumi and the Nightmare Painter,Standalone,adventurous
Yumi and the Nightmare Painter,Standalone,mysterious
Yumi and the Nightmare Painter,Standalone,hopeful
Yumi and the Nightmare Painter,Standalone,inspiring
Yumi and the Nightmare Painter,Standalone,funny
Yumi and the Nightmare Painter,Standalone,lighthearted
Yumi and the Nightmare Painter,Standalone,reflective
Yumi and the Nightmare Painter,Standalone,tense
Yumi and the Nightmare Painter,Standalone,sad
The Sunlit Man,Standalone,adventurous
The Sunlit Man,Standalone,emotional
The Sunlit Man,Standalone,tense
The Sunlit Man,Standalone,hopeful
The Sunlit Man,Standalone,mysterious
The Sunlit Man,Standalone,inspiring
The Sunlit Man,Standalone,dark
The Sunlit Man,Standalone,challenging
The Sunlit Man,Standalone,reflective
The Sunlit Man,Standalone,funny
