title,series,series_order,hardcover_id,release_year,pages,rating,ratings_count,reviews_count,users_read_count,has_audiobook,has_ebook,genres,moods,content_warnings,description
Mistborn: The Final Empire,Mistborn Era 1,1,369692,2006.0,541.0,4.468853082973864,3941,395,5312,True,True,Fantasy|Adventure|Young Adult|Fiction|High Fantasy|Science Fiction & Fantasy|War|Dystopian|Science Fiction|Mystical powers,Adventurous|mysterious|dark|tense|emotional|hopeful|inspiring|funny|sad|challenging,Violence|Slavery|Classism|Rape|Physical abuse|Grief|Death|child death|Blood|onment,"For a thousand years the ash fell and no flowers bloomed. For a thousand years the Skaa slaved in misery and lived in fear. For a thousand years the Lord Ruler, the ""Sliver of Infinity,"" reigned with absolute power and ultimate terror, divinely invincible. Then, when hope was so long lost that not even its memory remained, a terribly scarred, heart-broken half-Skaa rediscovered it in the depths of the Lord Ruler's most hellish prison. Kelsier ""snapped"" and found in himself the powers of a Mistborn. A brilliant thief and natural leader, he turned his talents to the ultimate caper, with the Lord Ruler himself as the mark.

Kelsier recruited the underworld's elite, the smartest and most trustworthy allomancers, each of whom shares one of his many powers, and all of whom relish a high-stakes challenge. Then Kelsier reveals his ultimate dream, not just the greatest heist in history, but the downfall of the divine despot.

But even with the best criminal crew ever assembled, Kel's plan looks more like the ultimate long shot, until luck brings a ragged girl named Vin into his life. Like him, she's a half-Skaa orphan, but she's lived a much harsher life. Vin has learned to expect betrayal from everyone she meets. She will have to learn trust if Kel is to help her master powers of which she never dreamed.

Brandon Sanderson, fantasy's newest master tale-spinner and author of the acclaimed debut Elantris, dares to turn a genre on its head by asking a simple question: What if the prophesied hero failed to defeat the Dark Lord? The answer will be found in the Misborn Trilogy, a saga of surprises that begins with the book in your hands. Fantasy will never be the same again."
The Well of Ascension,Mistborn Era 1,2,427383,2007.0,590.0,4.33910149750416,3005,253,4206,True,True,Fantasy|Fiction|Adventure|Dystopian|Epic Fantasy|Science Fiction & Fantasy|Young Adult|High Fantasy|Science Fiction|War,Adventurous|mysterious|tense|dark|emotional|hopeful|challenging|sad|inspiring|reflective,Injury/Injury detail|Death|War|Violence|Blood|Cursing,"From #1 New York Times bestselling author Brandon Sanderson, the Mistborn series is a heist story of political intrigue and magical, martial-arts action. The impossible has been accomplished. 

The Lord Ruler -- the man who claimed to be god incarnate and brutally ruled the world for a thousand years -- has been vanquished. 

But Kelsier, the hero who masterminded that triumph, is dead too, and now the awesome task of building a new world has been left to his young protégé, Vin, the former street urchin who is now the most powerful Mistborn in the land, and to the idealistic young nobleman she loves. As Kelsier's protégé and slayer of the Lord Ruler she is now venerated by a budding new religion, a distinction that makes her intensely uncomfortable. 

Even more worrying, the mists have begun behaving strangely since the Lord Ruler died, and seem to harbor a strange vaporous entity that haunts her. Stopping assassins may keep Vin's Mistborn skills sharp, but it's the least of her problems. Luthadel, the largest city of the former empire, doesn't run itself, and Vin and the other members of Kelsier's crew, who lead the revolution, must learn a whole new set of practical and political skills to help. 

It certainly won't get easier with three armies – one of them composed of ferocious giants – now vying to conquer the city, and no sign of the Lord Ruler's hidden cache of atium, the rarest and most powerful allomantic metal. As the siege of Luthadel tightens, an ancient legend seems to offer a glimmer of hope. But even if it really exists, no one knows where to find the Well of Ascension or what manner of power it bestows. "
The Hero of Ages,Mistborn Era 1,3,103241,2007.0,572.0,4.564093357271095,2785,249,3846,True,True,Fantasy|Fiction|Adventure|Dystopian|Fiction / Fantasy / Epic|Science Fiction & Fantasy|High Fantasy|Young Adult|Action|Science Fiction,Adventurous|emotional|tense|dark|mysterious|hopeful|sad|inspiring|reflective|challenging,Torture|body horror|Death|Blood|Murder|Genocide|Grief|confinement|Alcohol|Gore,"To end the Final Empire and restore freedom, Vin killed the Lord Ruler. But as a result, the Deepness--the lethal form of the ubiquitous mists--is back, along with increasingly heavy ashfalls and ever more powerful earthquakes. Humanity appears to be doomed unless Emperor Elend Venture can find clues left behind by the Lord Ruler that will allow him to save the world."
The Alloy of Law,Mistborn Era 2,1,330249,2011.0,325.0,4.117249846531615,1629,138,2357,True,True,Fantasy|Science Fiction|Fiction|Retail|Adventure|Science Fiction & Fantasy|Young Adult|Steampunk|Western|Fantasy fiction,Adventurous|mysterious|funny|tense|lighthearted|emotional|dark|challenging|fast-paced|hopeful,,"""Three hundred years after the events of the Mistborn trilogy, Scadrial is on the verge of modernity, with railroads to supplement the canals, electric lighting in the streets and the homes of the wealthy, and the first steel-framed skyscrapers racing for the clouds. Kelsier, Vin, Elend, Sazed, Spook, and the rest are now part of history--or religion. Yet even as science and technology are reaching new heights, the old magics of Allomancy and Feruchemy continue to play a role in this reborn world. Out in the frontier lands known as the Roughs, they are crucial tools for the brave men and women attempting to establish order and justice. One such is Waxillium Ladrian, a rare Twinborn who can Push on metals with hisAllomancy and use Feruchemy to become lighter or heavier at will. After twenty years in the Roughs, Wax has been forced by family tragedy to return to the metropolis of Elendel. Now he must reluctantly put away his guns and assume the duties and dignity incumbent upon the head of a noble house. Or so he thinks, until he learns the hard way that the mansions and elegant tree-lined streets of the city can be even more dangerous than the dusty plains of the Roughs.""--"
Shadows of Self,Mistborn Era 2,2,135725,2015.0,376.0,4.205915599095705,1327,101,2007,True,True,Fantasy|Science Fiction|Fiction|Imaginary places|Young Adult|Mystery|Literature & Fiction|Science Fiction & Fantasy|Classics|Adventure,Adventurous|mysterious|funny|emotional|tense|dark|sad|challenging|reflective|lighthearted,,"Shadows of Self shows Mistborn’s society evolving as technology and magic mix, the economy grows, democracy contends with corruption, and religion becomes a growing cultural force, with four faiths competing for converts.

This bustling, optimistic, but still shaky society now faces its first instance of terrorism, crimes intended to stir up labor strife and religious conflict. Wax and Wayne, assisted by the lovely, brilliant Marasi, must unravel the conspiracy before civil strife stops Scadrial’s progress in its tracks.

Shadows of Self will give fans of The Alloy of Law everything they’ve been hoping for and, this being a Brandon Sanderson book, more, much more."
The Bands of Mourning,Mistborn Era 2,3,427966,2016.0,455.0,4.360305958132045,1242,97,1889,True,True,Fantasy|Science Fiction|Fiction|Literature & Fiction|Science Fiction & Fantasy|Friendship|Adventure|Suspense|Classics|Young Adult|Juvenile Fiction,Adventurous|mysterious|funny|emotional|tense|dark|hopeful|lighthearted|challenging|reflective,Child abuse|child death|Death,"Three hundred years after the events of the Mistborn trilogy, Scadrial is now on the verge of modernity, with railroads to supplement the canals, electric lighting in the streets and the homes of the wealthy, and the first steel-framed skyscrapers racing for the clouds.

The Bands of Mourning are the mythical metal minds owned by the Lord Ruler, said to grant anyone who wears them the powers that the Lord Ruler had at his command. Hardly anyone thinks they really exist. A kandra researcher has returned to Elendel with images that seem to depict the Bands, as well as writings in a language that no one can read. Waxillium Ladrian is recruited to travel south to the city of New Seran to investigate. Along the way he discovers hints that point to the true goals of his uncle Edwarn and the shadowy organization known as The Set."
"Summary Of The Lost Metal: A Mistborn Novel (The Mistborn Saga, 7) By Brandon Sanderson",Mistborn Era 2,4,1779917,,,5.0,1,0,2,False,False,,,,"This isn't the main book, and it's not meant to take its place. However, Cherry J. Jacobs has calmly and brilliantly produced a SUMMARY
• Simplifies the author's point and relays it.
• Written in plain English that individuals of all literacy levels can understand.
• Completely outlines several important ideas that you could have missed.
• It is time and money efficient while yet being valuable.

ABOUT THE ORIGINAL BOOK

For years, frontier lawman turned big-city senator Waxillium Ladrian has hunted the shadowy organization the Set―with his late uncle and his sister among their leaders―since they started kidnapping people with the power of Allomancy in their bloodlines. When Detective Marasi Colms and her partner Wayne find stockpiled weapons bound for the Outer City of Bilming, this opens a new lead. Conflict between Elendel and the Outer Cities only favors the Set, and their tendrils now reach to the Elendel Senate―whose corruption Wax and Steris have sought to expose―and Bilming is even more entangled.

After Wax discovers a new type of explosive that can unleash unprecedented destruction and realizes that the Set must already have it, an immortal kandra serving Scadrial’s god, Harmony, reveals that Bilming has fallen under the influence of another Trell, worshipped by the Set. And Trell isn’t the only factor at play from the larger Cosmere―Marasi is recruited by offworlders with strange abilities who claim their goal is to protect Scadrial...at any cost.

Wax must choose whether to set aside his rocky relationship with God and once again become the Sword that Harmony has groomed him to be. If no one steps forward to be the hero Scadrial needs, the planet and its millions of people will come to a sudden and calamitous ruin.

Source:
Goodreads"
Brandon Sanderson Sampler: The Way of Kings and Mistborn,Stormlight Archive,1,543687,2014.0,50.0,4.65,10,0,15,False,True,,,,"Brandon Sanderson is one of the most innovative and prolific authors writing today, and Tor Books is proud to share with you two of his most exciting series: The Stormlight Archive and Mistborn. We hope that you'll enjoy this look into the rich imagination of #1 New York Times bestselling author Brandon Sanderson.

This electronic sampler contains part one of The Way of Kings, book one in The Stormlight archive, and the first five chapters of Mistborn, book one of the Mistborn series. "
Review of Brandon Sanderson's Words of Radiance,Stormlight Archive,2,505130,2014.0,52.0,0.0,0,0,0,False,False,,,,"WARNING: This is not the actual book Words of Radiance: The Stormlight Archive by Brandon Sanderson. Do not buy this Review if you are looking for a full copy of this great book.The first book in The Stormlight Archive series, The Way of Kings introduced readers to Roshar, a magical world where giant storms wreak havoc all too often. This review is your go-to source for understanding the next in this series: Words of Radiance. You can expect much more than you find in a typical review, as we break down the positive and negative aspects of the novel into highly detailed and analytical sections that explain the ""why"" and not just the ""what."" Parshendi and men are at war, forced to share Roshar no matter the cost for each side. At the heart of the war are Highprince Dalinar, a military slave named Kaladin, Jasnah (Dalinar's scholarly niece), and Shallan, a troubled protégé of Jasnah.There are many stories intertwining in Words of Radiance, furthering the importance of this expert review. Brandon Sanderson offers exactly what you'd expect from one of his books: a plot packed with unexpected surprises. The war enters a defining phase, as Dalinar takes his armies to the Shattered Plains in an attempt to end the battle for good. Shallan tags along, hoping to discover Urithiru, the city purported to hold the secret to the survival of mankind. The Parshendi make a dangerous choice in their quest to get stronger in advance of the challenge. This review of Words of Radiance not only helps you keep the characters, setting, and themes straight, it also offers an alternative outcome that might have helped the novel achieve even greater heights."
Oathbringer,Stormlight Archive,3,459452,2017.0,1243.0,4.573857598299681,1882,150,2760,True,True,Fantasy|Fiction|Science Fiction|War|Fiction / Fantasy / Action & Adventure|Fiction / Fantasy / Epic|Fiction / Fantasy / Military|Young Adult|Science Fiction & Fantasy|Adventure,Adventurous|emotional|tense|inspiring|mysterious|dark|hopeful|challenging|reflective|funny,,"In Oathbringer, the third volume of the New York Times bestselling Stormlight Archive, humanity faces a new Desolation with the return of the Voidbringers, a foe with numbers as great as their thirst for vengeance.

Dalinar Kholin's Alethi armies won a fleeting victory at a terrible cost: The enemy Parshendi summoned the violent Everstorm, which now sweeps the world with destruction, and in its passing awakens the once peaceful and subservient parshmen to the horror of their millennia-long enslavement by humans. While on a desperate flight to warn his family of the threat, Kaladin Stormblessed must come to grips with the fact that the newly kindled anger of the parshmen may be wholly justified.

Nestled in the mountains high above the storms, in the tower city of Urithiru, Shallan Davar investigates the wonders of the ancient stronghold of the Knights Radiant and unearths dark secrets lurking in its depths. And Dalinar realizes that his holy mission to unite his homeland of Alethkar was too narrow in scope. Unless all the nations of Roshar can put aside Dalinar's blood-soaked past and stand together--and unless Dalinar himself can confront that past--even the restoration of the Knights Radiant will not prevent the end of civilization."
